"id","TYPE","gender","NAME","description","icon_id","part","is_up_to_up","power_require"
"53","2","2","Găng thun thô","Giúp tăng sức đánh","409","-1","0","15000"
"54","2","2","Găng đồng","Giúp tăng sức đánh","410","-1","0","200000"
"55","3","2","Giầy cao su thô","Giúp tăng MP","403","-1","0","8000"
"56","3","2","Giầy đồng","Giúp tăng MP","404","-1","0","53000"
"57","4","3","Rada cấp 2","Giúp tăng Chí Mạng","433","-1","0","13000"
"58","4","3","Rada cấp 3","Giúp tăng Chí Mạng","1022","-1","0","28000"
"59","4","3","Rada cấp 4","Giúp tăng Chí Mạng","1023","-1","0","86000"
"60","6","3","Đậu thần cấp 2","Thức ăn phục hồi HP và KI","241","-1","0","1"
"61","6","3","Đậu thần cấp 3","Thức ăn phục hồi HP và KI","241","-1","0","1"
"62","6","3","Đậu thần cấp 4","Thức ăn phục hồi HP và KI","241","-1","0","1"
"63","6","3","Đậu thần cấp 5","Thức ăn phục hồi HP và KI","241","-1","0","1"
"64","6","3","Đậu thần cấp 6","Thức ăn phục hồi HP và KI","241","-1","0","1"
"65","6","3","Đậu thần cấp 7","Thức ăn phục hồi HP và KI","241","-1","0","1"
"66","7","0","Sách đấm Dragon lv1","học kĩ năng đấm Dragon","644","-1","0","1"
"67","7","0","Sách đấm Dragon lv2","nâng đấm Dragon lên cấp 2","645","-1","0","1"
"68","7","0","Sách đấm Dragon lv3","nâng đấm Dragon lên cấp 3","646","-1","0","1"
"69","7","0","Sách đấm Dragon lv4","nâng đấm Dragon lên cấp 4","647","-1","0","1"
"70","7","0","Sách đấm Dragon lv5","nâng đấm Dragon lên cấp 5","648","-1","0","1"
"71","7","0","Sách đấm Dragon lv6","nâng đấm Dragon lên cấp 6","649","-1","0","1"
"72","7","0","Sách đấm Dragon lv7","nâng đấm Dragon lên cấp 7","650","-1","0","1"
"73","8","3","Đùi gà","Cần tìm đủ 10 và mang về cho ông Gohan","643","-1","0","1"
"74","27","3","Đùi gà nướng","Ăn vào sẽ phục hồi toàn bộ HP MP","643","-1","0","1"
"75","8","3","Đùi heo Xayda","Cần tìm đủ 10 và mang về cho ông Paragus","241","-1","0","1"
"76","9","3","Vàng",,"927","-1","0","0"
"77","10","3","Ngọc",,"932","-1","0","0"
"78","11","3","Đứa bé","Đứa bé trong phi thuyền tennis","737","736","0","0"
"79","7","1","Sách đấm Demon lv1","học kĩ năng đấm Demon","665","-1","0","1"
"80","7","1","Sách đấm Demon lv2","nâng đòn đấm Demon lên cấp 2","666","-1","0","1"
"81","7","1","Sách đấm Demon lv3","nâng đòn đấm Demon lên cấp 3","667","-1","0","1"
"82","7","1","Sách đấm Demon lv4","nâng đòn đấm Demon lên cấp 4","668","-1","0","1"
"83","7","1","Sách đấm Demon lv5","nâng đòn đấm Demon lên cấp 5","669","-1","0","1"
"84","7","1","Sách đấm Demon lv6","nâng đòn đấm Demon lên cấp 6","670","-1","0","1"
"85","8","3","Truyện tranh","Vật phẩm nhiệm vụ","1041","-1","0","0"
"86","7","1","Sách đấm Demon lv7","nâng đòn đấm Demon lên cấp 7","671","-1","0","1"
"87","7","2","Sách đấm Galick lv1","học kĩ năng đấm Galick","679","-1","0","1"
"88","7","2","Sách đấm Galick lv2","nâng đòn đấm Galick lên cấp 2","680","-1","0","1"
"89","7","2","Sách đấm Galick lv3","nâng đòn đấm Galick lên cấp 3","681","-1","0","1"
"90","7","2","Sách đấm Galick lv4","nâng đòn đấm Galick lên cấp 4","682","-1","0","1"
"91","7","2","Sách đấm Galick lv5","nâng đòn đấm Galick lên cấp 5","683","-1","0","1"
"92","7","2","Sách đấm Galick lv6","nâng đòn đấm Galick lên cấp 6","684","-1","0","1"
"93","7","2","Sách đấm Galick lv7","nâng đòn đấm Galick lên cấp 7","685","-1","0","1"
"94","7","0","Sách Kamejoko lv1","học kĩ năng Kamejoko","651","-1","0","0"
"95","7","0","Sách Kamejoko lv2","nâng đòn Kamejoko lên cấp 2","652","-1","0","0"
"96","7","0","Sách Kamejoko lv3","nâng đòn Kamejoko lên cấp 3","653","-1","0","0"
"97","7","0","Sách Kamejoko lv4","nâng đòn Kamejoko lên cấp 4","654","-1","0","0"
"98","7","0","Sách Kamejoko lv5","nâng đòn Kamejoko lên cấp 5","655","-1","0","0"
"99","7","0","Sách Kamejoko lv6","nâng đòn Kamejoko lên cấp 6","656","-1","0","0"
"100","7","0","Sách Kamejoko lv7","nâng đòn Kamejoko lên cấp 7","657","-1","0","0"
"101","7","1","Sách Masenko lv1","học kĩ năng Masenko","672","-1","0","0"
"102","7","1","Sách Masenko lv2","nâng đòn Masenko lên cấp 2","673","-1","0","0"
"103","7","1","Sách Masenko lv3","nâng đòn Masenko lên cấp 3","674","-1","0","0"
"104","7","1","Sách Masenko lv4","nâng đòn Masenko lên cấp 4","675","-1","0","0"
"105","7","1","Sách Masenko lv5","nâng đòn Masenko lên cấp 5","676","-1","0","0"
"106","7","1","Sách Masenko lv6","nâng đòn Masenko lên cấp 6","677","-1","0","0"
"107","7","1","Sách Masenko lv7","nâng đòn Masenko lên cấp 7","678","-1","0","0"
"108","7","2","Sách Antomic lv1","học kĩ năng Antomic","686","-1","0","0"
"109","7","2","Sách Antomic lv2","nâng đòn Antomic lên cấp 2","687","-1","0","0"
"110","7","2","Sách Antomic lv3","nâng Antomic lên cấp 3","688","-1","0","0"
"111","7","2","Sách Antomic lv4","nâng Antomic lên cấp 4","689","-1","0","0"
"112","7","2","Sách Antomic lv5","nâng Antomic lên cấp 5","690","-1","0","0"
"113","7","2","Sách Antomic lv6","nâng Antomic lên cấp 6","691","-1","0","0"
"114","7","2","Sách Antomic lv7","nâng Antomic lên cấp 7","692","-1","0","0"
"115","7","0","Thái Dương Hạ San lv1","học Thái Dương Hạ San","658","-1","0","0"
"116","7","0","Thái Dương Hạ San lv2","nâng TDHS lên cấp 2","659","-1","0","0"
"117","7","0","Thái Dương Hạ San lv3","nâng TDHS lên cấp 3","660","-1","0","0"
"118","7","0","Thái Dương Hạ San lv4","nâng TDHS lên cấp 4","661","-1","0","0"
"119","7","0","Thái Dương Hạ San lv5","nâng TDHS lên cấp 5","662","-1","0","0"
"120","7","0","Thái Dương Hạ San lv6","nâng TDHS lên cấp 6","663","-1","0","0"
"121","7","0","Thái Dương Hạ San lv7","nâng TDHS lên cấp 7","664","-1","0","0"
"122","7","1","Sách học Trị thương lv1","học trị thương","1090","-1","0","0"
"123","7","1","Sách học Trị thương lv2","nâng trị thương lên cấp 2","1091","-1","0","0"
"124","7","1","Sách học Trị thương lv3","nâng trị thương lên cấp 3","1092","-1","0","0"
"125","7","1","Sách học Trị thương lv4","nâng trị thương lên cấp 4","1093","-1","0","0"
"126","7","1","Sách học Trị thương lv5","nâng trị thương lên cấp 5","1094","-1","0","0"
"127","7","1","Sách học Trị thương lv6","nâng trị thương lên cấp 6","1095","-1","0","0"
"128","7","1","Sách học Trị thương lv7","nâng trị thương lên cấp 7","1096","-1","0","0"
"129","7","2","Tái tạo năng lượng lv1","học Tái tạo năng lượng","1097","-1","0","0"
"130","7","2","Tái tạo năng lượng lv2","nâng Tái tạo năng lượng lên cấp 2","1098","-1","0","0"
"131","7","2","Tái tạo năng lượng lv3","nâng Tái tạo năng lượng lên cấp 3","1099","-1","0","0"
"132","7","2","Tái tạo năng lượng lv4","nâng Tái tạo năng lượng lên cấp 4","1100","-1","0","0"
"133","7","2","Tái tạo năng lượng lv5","nâng Tái tạo năng lượng lên cấp 5","1101","-1","0","0"
"134","7","2","Tái tạo năng lượng lv6","nâng Tái tạo năng lượng lên cấp 6","1102","-1","0","0"
"135","7","2","Tái tạo năng lượng lv7","nâng Tái tạo năng lượng lên cấp 7","1103","-1","0","0"
"136","0","0","Áo vải Kame","Giúp ôạn giảm sát thương","938","65","0","240000"
"137","0","0","Áo thun Kame","Giúp bạn giảm sát thương","938","65","0","720000"
"138","0","0","Áo võ Kame","Giúp bạn giảm sát thương","949","71","0","2200000"
"139","0","0","Áo võ Goku","Giúp bạn giảm sát thương","949","71","0","6400000"
"140","1","0","Quần vải Kame","Giúp bạn tăng HP","939","66","0","200000"
"141","1","0","Quần thun Kame","Giúp bạn tăng HP","939","66","0","600000"
"142","1","0","Quần võ Kame","Giúp bạn tăng HP","950","72","0","1800000"
"143","1","0","Quần võ goku","Giúp bạn tăng HP","950","72","0","5300000"
"144","2","0","Găng vải Kame","Giúp bạn tăng sức đánh","947","-1","0","800000"
"145","2","0","Găng thun Kame","Giúp bạn tăng sức đánh","947","-1","0","3200000"
"146","2","0","Găng võ Kame","Giúp bạn tăng sức đánh","953","-1","0","10000000"
"147","2","0","Găng võ goku","Giúp bạn tăng sức đánh","953","-1","0","20000000"
"148","3","0","Giày nhựa Kame","Giúp bạn tăng MP","940","-1","0","160000"
"149","3","0","Giày cao su Kame","Giúp bạn tăng MP","940","-1","0","480000"
"150","3","0","Giày võ kame","Giúp bạn tăng MP","952","-1","0","1400000"
"151","3","0","Giày võ goku","Giúp bạn tăng MP","952","-1","0","4300000"
"152","0","1","Áo choàng len","Giúp bạn giảm sát thương","942","67","0","240000"
"153","0","1","Áo choàng thun","Giúp bạn giảm sát thương","942","67","0","720000"
"154","0","1","Áo vải Pico","Giúp bạn giảm sát thương","959","75","0","2200000"
"155","0","1","Áo da Pico","Giúp bạn giảm sát thương","959","75","0","6400000"
"156","1","1","Quần len cứng","Giúp bạn tăng HP","943","68","0","200000"
"157","1","1","Quần thun cứng","Giúp bạn tăng HP","943","68","0","600000"
"158","1","1","Quần vải cứng Pico","Giúp bạn tăng HP","960","76","0","1800000"
"159","1","1","Quần vải mềm Pico","Giúp bạn tăng HP","960","76","0","5300000"
"160","2","1","Găng len cứng","Giúp bạn tăng sức đánh","948","-1","0","800000"
"161","2","1","Găng thun cứng","Giúp bạn tăng sức đánh","948","-1","0","3200000"
"162","2","1","Găng vải Pico","Giúp bạn tăng sức đánh","961","-1","0","10000000"
"163","2","1","Găng da Pico","Giúp bạn tăng sức đánh","961","-1","0","20000000"
"164","3","1","Giày nhựa cứng","Giúp bạn tăng MP","945","-1","0","160000"
"165","3","1","Giày cao su cứng","Giúp bạn tăng MP","945","-1","0","480000"
"166","3","1","Giày da Pico","Giúp bạn tăng MP","963","-1","0","1400000"
"167","3","1","Giày sắt Pico","Giúp bạn tăng MP","963","-1","0","4300000"
"168","0","2","Áo giáp bạc","Giúp bạn giảm sát thương","934","69","0","240000"
"169","0","2","Áo giáp vàng","Giúp bạn giảm sát thương","934","69","0","720000"
"170","0","2","Áo lông Xayda","Giúp bạn giảm sát thương","954","73","0","2200000"
"171","0","2","Áo khoác Xayda","Giúp bạn giảm sát thương","954","73","0","6400000"
"172","1","2","Quần giáp bạc","Giúp bạn tăng HP","935","70","0","200000"
"173","1","2","Quần giáp vàng","Giúp bạn tăng HP","935","70","0","600000"
"174","1","2","Quần lông Xayda","Giúp bạn tăng HP","955","74","0","1800000"
"175","1","2","Quần da Xayda","Giúp bạn tăng HP","955","74","0","5300000"
"176","2","2","Găng bạc","Giúp bạn tăng sức đánh","946","-1","0","800000"
"177","2","2","Găng vàng","Giúp bạn tăng sức đánh","946","-1","0","3200000"
"178","2","2","Găng lông Xayda","Giúp bạn tăng sức đánh","956","-1","0","10000000"
"179","2","2","Găng da Xayda","Giúp bạn tăng sức đánh","956","-1","0","20000000"
"180","3","2","Giày bạc","Giúp bạn tăng MP","936","-1","0","160000"
"181","3","2","Giày vàng","Giúp bạn tăng MP","936","-1","0","480000"
"182","3","2","Giày lông Xayda","Giúp bạn tăng MP","957","-1","0","1400000"
"183","3","2","Giày da Xayda","Giúp bạn tăng MP","957","-1","0","4300000"
"184","4","3","Rada cấp 5","Giúp bạn tăng Chí Mạng","1019","-1","0","260000"
"185","4","3","Rada cấp 6","Giúp bạn tăng Chí Mạng","1020","-1","0","780000"
"186","4","3","Rada cấp 7","Giúp bạn tăng Chí Mạng","1021","-1","0","2300000"
"187","4","3","Rada cấp 8","Giúp bạn tăng Chí Mạng","434","-1","0","7000000"
"188","9","3","Vàng",,"928","-1","0","0"
"189","9","3","Vàng",,"929","-1","0","0"
"190","9","3","Vàng",,"930","-1","0","0"
"191","27","3","Cà chua",,"931","-1","0","0"
"192","27","3","Cà rốt",,"933","-1","0","0"
"193","27","3","Gói 10 viên Capsule","Tàu Vận Chuyển","1087","-1","0","0"
"194","27","3","Viên Capsule đặc biệt","Tàu Vận Chuyển VIP dùng không giới hạn số lần","1088","-1","0","0"
"195","27","3","Siêu thánh thủy","Tẩy toàn bộ tiềm năng","1088","-1","0","0"
"196","5","2","Avatar","Dùng để thay  khuôn mặt","1383","101","0","0"
"197","5","2","Avatar","Dùng để thay khuôn mặt","1380","102","0","0"
"198","5","2","Avatar","Dùng để thay đổi khuôn mặt","1379","103","0","0"
"199","5","2","Avatar","Dùng để thay đổi khuôn mặt","1378","104","0","0"
"200","5","2","Avatar","Dùng để thay đổi khuôn mặt","1381","105","0","0"
"201","5","0","Avatar","Dùng để thay đổi khuôn mặt","1382","106","0","0"
"202","5","2","Avatar","Dùng để thay đổi khuôn mặt","1377","107","0","0"
"203","5","0","Avatar","Dùng để thay đổi khuôn mặt","1387","108","0","0"
"204","5","0","Avatar","Dùng để thay đổi khuôn mặt","1385","109","0","0"
"205","5","0","Avatar","Dùng để thay đổi khuôn mặt","1389","110","0","0"
"206","5","1","Avatar","Dùng để thay đổi khuôn mặt","1384","112","0","0"
"207","5","1","Avatar","Dùng để thay đổi khuôn mặt","1386","111","0","0"
"208","5","1","Avatar","Dùng để thay đổi khuôn mặt","1388","113","0","0"
"209","5","2","Avatar","Dùng để thay đổi khuôn mặt","17","0","0","0"
"210","5","0","Avatar","Dùng để thay đổi khuôn mặt","17","0","0","0"
"211","27","3","Nho tím","Ăn vào hồi phục 100% thể lực","1394","-1","0","0"
"212","27","3","Nho xanh","Ăn vào hồi phục 20% thể lực","1395","-1","0","0"
"213","13","3","Bùa Trí Tuệ","Tiềm năng và sức mạnh của bạn sẽ nhận được gấp đôi trong 1 khoảng thời gian, kể từ lúc mua","1403","-1","0","0"
"214","13","3","Bùa Mạnh Mẽ","Cú đấm của bạn sẽ mạnh hơn. Tăng 150% sức đánh hiện có khi bạn đánh Quái trong 1 khoảng thời gian, kể từ lúc mua","1404","-1","0","0"
"215","13","3","Bùa Da Trâu","Tăng sức chịu đòn cho bạn. Khi bị quái đánh, máu sẽ mất ít hơn, chỉ còn 50% bình thường. Có tác dụng trong 1 khoảng thời gian kể từ lúc mua","1405","-1","0","0"
"216","13","3","Bùa Oai Hùng","Bạn sẽ oai vệ hơn. Quái Thủ Lĩnh sẽ sợ bạn và đánh bạn yếu đi, y như con quái thường. Có tác dụng trong 1 khoảng thời gian kể từ lúc mua","1406","-1","0","0"
"217","13","3","Bùa Bất Tử","Bạn sẽ không bao giờ bị quái đánh chết. Thay vào đó chỉ còn 1 máu. Tuy nhiên bạn phải bơm máu mới có thể đánh lại. Có tác dụng trong 1 khoảng thời gian kể từ lúc mua.","1407","-1","0","0"
"218","13","3","Bùa Dẻo Dai","Thể lực của bạn sẽ không bao giờ giảm khi bùa này có tác dụng. Có tác dụng trong 1 khoảng thời gian, kể từ lúc mua","1408","-1","0","0"
"219","13","3","Bùa Thu Hút","Vật phẩm bạn đánh văng ra nếu là của bạn, nó sẽ tự bay vào người. Bạn sẽ không phải nhặt bằng tay. Có tác dụng trong 1 khoảng thời gian, kể từ lúc mua","1409","-1","0","0"
"220","14","3","Đá lục bảo","Gặp bà Hạt Mít để sử dụng","1420","-1","0","0"
"221","14","3","Đá Saphia","Gặp bà Hạt Mít để sử dụng","1419","-1","0","0"
"222","14","3","Đá Ruby","Gặp bà Hạt Mít để sử dụng","1416","-1","0","0"
"223","14","3","Đá Titan","Gặp bà Hạt Mít để sử dụng","1417","-1","0","0"
"224","14","3","Đá thạch anh","Gặp bà Hạt Mít để sử dụng","1418","-1","0","0"
"225","15","3","Mảnh đá vụn","Gặp bà Hạt Mít để sử dụng","1421","-1","0","0"
"226","16","3","Bình nước phép","Gặp bà Hạt Mít để sử dụng","1422","-1","0","0"
"227","5","0","Avatar VIP","Dùng để thay đổi khuôn mặt","1477","127","0","0"
"228","5","1","Avatar VIP","Dùng để thay đổi khuôn mặt","1454","128","0","0"
"229","5","2","Avatar VIP","Dùng để thay đổi khuôn mặt","1478","126","0","0"
"230","0","0","Áo bạc Goku","Giúp bạn giảm sát thương","1689","155","0","20000000"
"231","0","0","Áo vàng Goku","Giúp bạn giảm sát thương","1689","155","0","58000000"
"232","0","0","Áo da Calic","Giúp bạn giảm sát thương","1688","157","0","170000000"
"233","0","0","Áo jean Calic","Giúp bạn giảm sát thương","1688","157","0","520000000"
"234","0","1","Áo sắt Tron","Giúp bạn giảm sát thương","1692","149","0","20000000"
"235","0","1","Áo đồng Tron","Giúp bạn giảm sát thương","1692","149","0","58000000"
"236","0","1","Áo bạc Zealot","Giúp bạn giảm sát thương","1693","153","0","170000000"
"237","0","1","Áo vàng Zealot","Giúp bạn giảm sát thương","1693","153","0","520000000"
"238","0","2","Áo lông đỏ","Giúp bạn giảm sát thương","1690","147","0","20000000"
"239","0","2","Áo siêu xayda","Giúp bạn giảm sát thương","1690","147","0","58000000"
"240","0","2","Áo Kaio","Giúp bạn giảm sát thương","1691","151","0","170000000"
"241","0","2","Áo lưỡng long","Giúp bạn giảm sát thương","1691","151","0","520000000"
"242","1","0","Quần bạc Goku","Giúp bạn tăng HP","1695","156","0","20000000"
"243","1","0","Quần vàng Goku","Giúp bạn tăng HP","1695","156","0","58000000"
"244","1","0","Quần da Calic","Giúp bạn tăng HP","1694","158","0","170000000"
"245","1","0","Quần jean Calic","Giúp bạn tăng HP","1694","158","0","520000000"
"246","1","1","Quần sắt Tron","Giúp bạn tăng HP","1698","150","0","20000000"
"247","1","1","Quần đồng Tron","Giúp bạn tăng HP","1698","150","0","58000000"
"248","1","1","Quần bạc Zealot","Giúp bạn tăng HP","1699","154","0","170000000"
"249","1","1","Quần vàng Zealot","Giúp bạn tăng HP","1699","154","0","520000000"
"250","1","2","Quần lông đỏ","Giúp bạn tăng HP","1696","148","0","20000000"
"251","1","2","Quần siêu Xayda","Giúp bạn tăng HP","1696","148","0","58000000"
"252","1","2","Quần Kaio","Giúp bạn tăng HP","1697","152","0","170000000"
"253","1","2","Quần lưỡng long","Giúp bạn tăng HP","1697","152","0","520000000"
"254","2","0","Găng bạc Goku","Giúp bạn tăng sức đánh","1707","-1","0","68000000"
"255","2","0","Găng vàng Goku","Giúp bạn tăng sức đánh","1707","-1","0","200000000"
"256","2","0","Găng da Calic","Giúp bạn tăng sức đánh","1706","-1","0","600000000"
"257","2","0","Găng jean Calic","Giúp bạn tăng sức đánh","1706","-1","0","1500000000"
"258","2","1","Găng sắt Tron","Giúp bạn tăng sức đánh","1711","-1","0","68000000"
"259","2","1","Găng đồng Tron","Giúp bạn tăng sức đánh","1711","-1","0","200000000"
"260","2","1","Găng bạc Zealot","Giúp bạn tăng sức đánh","1710","-1","0","600000000"
"261","2","1","Găng vàng Zealot","Giúp bạn tăng sức đánh","1710","-1","0","1500000000"
"262","2","2","Găng lông đỏ","Giúp bạn tăng sức đánh","1708","-1","0","68000000"
"263","2","2","Găng siêu Xayda","Giúp bạn tăng sức đánh","1708","-1","0","200000000"
"264","2","2","Găng Kaio","Giúp bạn tăng sức đánh","1709","-1","0","600000000"
"265","2","2","Găng lưỡng long","Giúp bạn tăng sức đánh","1709","-1","0","1500000000"
"266","3","0","Giày bạc Goku","Giúp bạn tăng MP","1701","-1","0","13000000"
"267","3","0","Giày vàng Goku","Giúp bạn tăng MP","1701","-1","0","38000000"
"268","3","0","Giày da Calic","Giúp bạn tăng MP","1700","-1","0","120000000"
"269","3","0","Giày jean Calic","Giúp bạn tăng MP","1700","-1","0","340000000"
"270","3","1","Giày sắt Tron","Giúp bạn tăng MP","1704","-1","0","13000000"
"271","3","1","Giày đồng Tron","Giúp bạn tăng MP","1704","-1","0","38000000"
"272","3","1","Giày bạc Zealot","Giúp bạn tăng MP","1705","-1","0","120000000"
"273","3","1","Giày vàng Zealot","Giúp bạn tăng MP","1705","-1","0","340000000"
"274","3","2","Giày lông đỏ","Giúp bạn tăng MP","1702","-1","0","13000000"
"275","3","2","Giày siêu Xayda","Giúp bạn tăng MP","1702","-1","0","38000000"
"276","3","2","Giày Kaio","Giúp bạn tăng MP","1703","-1","0","120000000"
"277","3","2","Giày lưỡng long","Giúp bạn tăng MP","1703","-1","0","340000000"
"278","4","3","Rada cấp 9","Giúp bạn tăng Chí Mạng","1712","-1","0","42000000"
"279","4","3","Rada cấp 10","Giúp bạn tăng Chí Mạng","1712","-1","0","200000000"
"280","4","3","Rada cấp 11","Giúp bạn tăng Chí Mạng","1713","-1","0","1000000000"
"281","4","3","Rada cấp 12","Giúp bạn tăng Chí Mạng","1713","-1","0","1500000000"
"282","5","1","Cải trang","Cải trang thành Thần Vũ Trụ","2127","-1","0","0"
"283","5","0","Cải trang","Cải trang thành Yarirne","2128","-1","0","0"
"284","5","3","Cải trang","Cải trang thành Tàu Pảy Pảy","1210","-1","0","0"
"285","5","0","Cải trang","Cải trang thành Thần Mèo Karin","2126","-1","0","0"
"286","5","1","Cải trang","Cải trang thành Thượng Đế","2129","-1","0","0"
"287","5","1","Cải trang","Cải trang thành Pôpô","2133","-1","0","0"
"288","5","2","Cải trang","Cải trang thành Kuku","2137","-1","0","0"
"289","5","2","Cải trang","Cải trang thành Rambô","2125","-1","0","0"
"290","5","3","Cải trang","Cải trang thành Số 2","2124","-1","0","0"
"291","5","0","Cải trang","Cải trang thành Ninja Áo Tím","2131","-1","0","0"
"292","5","3","Cải trang","Cải trang thành Số 3","2123","-1","0","0"
"293","27","3","Gói 30 đậu thần cấp 1","Gói 30 đậu thần cấp 1","241","-1","0","0"
"294","27","3","Gói 30 đậu thần cấp 2","Gói 30 đậu thần cấp 2","241","-1","0","0"
"295","27","3","Gói 30 đậu thần cấp 3","Gói 30 đậu thần cấp 3","241","-1","0","0"
"296","27","3","Gói 30 đậu thần cấp 4","Gói 30 đậu thần cấp 4","241","-1","0","0"
"297","27","3","Gói 30 đậu thần cấp 5","Gói 30 đậu thần cấp 5","241","-1","0","0"
"298","27","3","Gói 30 đậu thần cấp 6","Gói 30 đậu thần cấp 6","241","-1","0","0"
"299","27","3","Gói 30 đậu thần cấp 7","Gói 30 đậu thần cấp 7","241","-1","0","0"
"300","7","0","Kaioken lv1","học kỹ năng Kaioken","716","-1","0","10000000"
"301","7","0","Kaioken lv2","nâng Kaioken lên cấp 2","716","-1","0","10000000"
"302","7","0","Kaioken lv3","nâng Kaioken lên cấp 3","716","-1","0","10000000"
"303","7","0","Kaioken lv4","nâng Kaioken lên cấp 4","716","-1","0","10000000"
"304","7","0","Kaioken lv5","nâng Kaioken lên cấp 5","716","-1","0","10000000"
"305","7","0","Kaioken lv6","nâng Kaioken lên cấp 6","716","-1","0","10000000"
"306","7","0","Kaioken lv7","nâng Kaioken lên cấp 7","716","-1","0","10000000"
"307","7","0","Quả cầu Kênh Khi lv1","học kỹ năng Quả Cầu Kênh Khi","717","-1","0","10000000"
"308","7","0","Quả cầu Kênh Khi lv2","nâng Quả Cầu Kênh Khi lên cấp 2","717","-1","0","10000000"
"309","7","0","Quả cầu Kênh Khi lv3","nâng Quả Cầu Kênh Khi lên cấp 3","717","-1","0","10000000"
"310","7","0","Quả cầu Kênh Khi lv4","nâng Quả Cầu Kênh Khi lên cấp 4","717","-1","0","10000000"
